rule,premise,is_tall,conclusion
R1103,generation-3/evolution-2/type1-grass/type2-poison,non,generation-3/evolution-2/type1-grass/type2-poison/is_tall-non
R1104,generation-3/evolution-1/type1-poison/type2-aucun,non,generation-3/evolution-1/type1-poison/type2-aucun/is_tall-non
R1105,generation-3/evolution-2/type1-poison/type2-aucun,oui,generation-3/evolution-2/type1-poison/type2-aucun/is_tall-oui
R1106,generation-3/evolution-1/type1-water/type2-dark,non,generation-3/evolution-1/type1-water/type2-dark/is_tall-non
R1107,generation-3/evolution-2/type1-water/type2-dark,oui,generation-3/evolution-2/type1-water/type2-dark/is_tall-oui
R1108,generation-3/evolution-1/type1-water/type2-aucun,oui,generation-3/evolution-1/type1-water/type2-aucun/is_tall-oui
R1109,generation-3/evolution-2/type1-water/type2-aucun,oui,generation-3/evolution-2/type1-water/type2-aucun/is_tall-oui
R1110,generation-3/evolution-1/type1-fire/type2-ground,non,generation-3/evolution-1/type1-fire/type2-ground/is_tall-non
R1111,generation-3/evolution-2/type1-fire/type2-ground,oui,generation-3/evolution-2/type1-fire/type2-ground/is_tall-oui
R1112,generation-3/evolution-1/type1-psychic/type2-aucun,non,generation-3/evolution-1/type1-psychic/type2-aucun/is_tall-non
R1113,generation-3/evolution-2/type1-psychic/type2-aucun,non,generation-3/evolution-2/type1-psychic/type2-aucun/is_tall-non
R1114,generation-3/evolution-1/type1-normal/type2-aucun,oui,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-oui
R1115,generation-3/evolution-1/type1-ground/type2-aucun,non,generation-3/evolution-1/type1-ground/type2-aucun/is_tall-non
R1116,generation-3/evolution-2/type1-ground/type2-dragon,oui,generation-3/evolution-2/type1-ground/type2-dragon/is_tall-oui
R1117,generation-3/evolution-3/type1-ground/type2-dragon,oui,generation-3/evolution-3/type1-ground/type2-dragon/is_tall-oui
R1118,generation-3/evolution-2/type1-dragon/type2-flying,oui,generation-3/evolution-2/type1-dragon/type2-flying/is_tall-oui
R1119,generation-3/evolution-1/type1-poison/type2-aucun,oui,generation-3/evolution-1/type1-poison/type2-aucun/is_tall-oui
R1120,generation-3/evolution-1/type1-rock/type2-psychic,oui,generation-3/evolution-1/type1-rock/type2-psychic/is_tall-oui
R1121,generation-3/evolution-1/type1-water/type2-ground,non,generation-3/evolution-1/type1-water/type2-ground/is_tall-non
R1122,generation-3/evolution-1/type1-ground/type2-psychic,non,generation-3/evolution-1/type1-ground/type2-psychic/is_tall-non
R1123,generation-3/evolution-2/type1-ground/type2-psychic,oui,generation-3/evolution-2/type1-ground/type2-psychic/is_tall-oui
R1124,generation-3/evolution-1/type1-rock/type2-grass,oui,generation-3/evolution-1/type1-rock/type2-grass/is_tall-oui
R1125,generation-3/evolution-2/type1-rock/type2-grass,oui,generation-3/evolution-2/type1-rock/type2-grass/is_tall-oui
R1126,generation-3/evolution-1/type1-rock/type2-bug,non,generation-3/evolution-1/type1-rock/type2-bug/is_tall-non
R1127,generation-3/evolution-2/type1-rock/type2-bug,oui,generation-3/evolution-2/type1-rock/type2-bug/is_tall-oui
R1128,generation-3/evolution-1/type1-ghost/type2-aucun,non,generation-3/evolution-1/type1-ghost/type2-aucun/is_tall-non
R1129,generation-3/evolution-2/type1-ghost/type2-aucun,oui,generation-3/evolution-2/type1-ghost/type2-aucun/is_tall-oui
R1130,generation-3/evolution-1/type1-grass/type2-flying,oui,generation-3/evolution-1/type1-grass/type2-flying/is_tall-oui
R1131,generation-3/evolution-1/type1-dark/type2-aucun,oui,generation-3/evolution-1/type1-dark/type2-aucun/is_tall-oui
R1132,generation-3/evolution-1/type1-ice/type2-aucun,non,generation-3/evolution-1/type1-ice/type2-aucun/is_tall-non
R1133,generation-3/evolution-2/type1-ice/type2-aucun,oui,generation-3/evolution-2/type1-ice/type2-aucun/is_tall-oui
R1134,generation-3/evolution-1/type1-ice/type2-water,non,generation-3/evolution-1/type1-ice/type2-water/is_tall-non
R1135,generation-3/evolution-2/type1-ice/type2-water,oui,generation-3/evolution-2/type1-ice/type2-water/is_tall-oui
R1136,generation-3/evolution-3/type1-ice/type2-water,oui,generation-3/evolution-3/type1-ice/type2-water/is_tall-oui
R1137,generation-3/evolution-1/type1-water/type2-rock,oui,generation-3/evolution-1/type1-water/type2-rock/is_tall-oui
R1138,generation-3/evolution-1/type1-dragon/type2-aucun,non,generation-3/evolution-1/type1-dragon/type2-aucun/is_tall-non
R1139,generation-3/evolution-2/type1-dragon/type2-aucun,oui,generation-3/evolution-2/type1-dragon/type2-aucun/is_tall-oui
R1140,generation-3/evolution-3/type1-dragon/type2-flying,oui,generation-3/evolution-3/type1-dragon/type2-flying/is_tall-oui
R1141,generation-3/evolution-1/type1-steel/type2-psychic,non,generation-3/evolution-1/type1-steel/type2-psychic/is_tall-non
R1142,generation-3/evolution-2/type1-steel/type2-psychic,oui,generation-3/evolution-2/type1-steel/type2-psychic/is_tall-oui
R1143,generation-3/evolution-3/type1-steel/type2-psychic,oui,generation-3/evolution-3/type1-steel/type2-psychic/is_tall-oui
R1144,generation-3/evolution-1/type1-ice/type2-aucun,oui,generation-3/evolution-1/type1-ice/type2-aucun/is_tall-oui
R1145,generation-3/evolution-1/type1-steel/type2-aucun,oui,generation-3/evolution-1/type1-steel/type2-aucun/is_tall-oui
R1146,generation-3/evolution-1/type1-dragon/type2-psychic,oui,generation-3/evolution-1/type1-dragon/type2-psychic/is_tall-oui
R1147,generation-3/evolution-1/type1-ground/type2-aucun,oui,generation-3/evolution-1/type1-ground/type2-aucun/is_tall-oui
R1148,generation-3/evolution-1/type1-dragon/type2-flying,oui,generation-3/evolution-1/type1-dragon/type2-flying/is_tall-oui
R1149,generation-3/evolution-1/type1-psychic/type2-aucun,oui,generation-3/evolution-1/type1-psychic/type2-aucun/is_tall-oui
R1150,generation-4/evolution-1/type1-grass/type2-aucun,non,generation-4/evolution-1/type1-grass/type2-aucun/is_tall-non
R1151,generation-4/evolution-2/type1-grass/type2-aucun,oui,generation-4/evolution-2/type1-grass/type2-aucun/is_tall-oui
R1152,generation-4/evolution-3/type1-grass/type2-ground,oui,generation-4/evolution-3/type1-grass/type2-ground/is_tall-oui
R1153,generation-4/evolution-1/type1-fire/type2-aucun,non,generation-4/evolution-1/type1-fire/type2-aucun/is_tall-non
R1154,generation-4/evolution-2/type1-fire/type2-fighting,non,generation-4/evolution-2/type1-fire/type2-fighting/is_tall-non
R1155,generation-4/evolution-3/type1-fire/type2-fighting,oui,generation-4/evolution-3/type1-fire/type2-fighting/is_tall-oui
R1156,generation-4/evolution-1/type1-water/type2-aucun,non,generation-4/evolution-1/type1-water/type2-aucun/is_tall-non
R1157,generation-4/evolution-2/type1-water/type2-aucun,non,generation-4/evolution-2/type1-water/type2-aucun/is_tall-non
R1158,generation-4/evolution-3/type1-water/type2-steel,oui,generation-4/evolution-3/type1-water/type2-steel/is_tall-oui
R1159,generation-4/evolution-1/type1-normal/type2-flying,non,generation-4/evolution-1/type1-normal/type2-flying/is_tall-non
R1160,generation-4/evolution-2/type1-normal/type2-flying,non,generation-4/evolution-2/type1-normal/type2-flying/is_tall-non
R1161,generation-4/evolution-3/type1-normal/type2-flying,oui,generation-4/evolution-3/type1-normal/type2-flying/is_tall-oui
R1162,generation-4/evolution-1/type1-normal/type2-aucun,non,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-non
R1163,generation-4/evolution-2/type1-normal/type2-water,oui,generation-4/evolution-2/type1-normal/type2-water/is_tall-oui
R1164,generation-4/evolution-1/type1-bug/type2-aucun,non,generation-4/evolution-1/type1-bug/type2-aucun/is_tall-non
R1165,generation-4/evolution-2/type1-bug/type2-aucun,oui,generation-4/evolution-2/type1-bug/type2-aucun/is_tall-oui
R1166,generation-4/evolution-1/type1-electric/type2-aucun,non,generation-4/evolution-1/type1-electric/type2-aucun/is_tall-non
R1167,generation-4/evolution-2/type1-electric/type2-aucun,non,generation-4/evolution-2/type1-electric/type2-aucun/is_tall-non
R1168,generation-4/evolution-3/type1-electric/type2-aucun,oui,generation-4/evolution-3/type1-electric/type2-aucun/is_tall-oui
R1169,generation-4/evolution-1/type1-grass/type2-poison,non,generation-4/evolution-1/type1-grass/type2-poison/is_tall-non
R1170,generation-4/evolution-3/type1-grass/type2-poison,non,generation-4/evolution-3/type1-grass/type2-poison/is_tall-non
R1171,generation-4/evolution-1/type1-rock/type2-aucun,non,generation-4/evolution-1/type1-rock/type2-aucun/is_tall-non
R1172,generation-4/evolution-2/type1-rock/type2-aucun,oui,generation-4/evolution-2/type1-rock/type2-aucun/is_tall-oui
R1173,generation-4/evolution-1/type1-rock/type2-steel,non,generation-4/evolution-1/type1-rock/type2-steel/is_tall-non
R1174,generation-4/evolution-2/type1-rock/type2-steel,oui,generation-4/evolution-2/type1-rock/type2-steel/is_tall-oui
R1175,generation-4/evolution-2/type1-bug/type2-grass,non,generation-4/evolution-2/type1-bug/type2-grass/is_tall-non
R1176,generation-4/evolution-2/type1-bug/type2-flying,non,generation-4/evolution-2/type1-bug/type2-flying/is_tall-non
R1177,generation-4/evolution-1/type1-bug/type2-flying,non,generation-4/evolution-1/type1-bug/type2-flying/is_tall-non
R1178,generation-4/evolution-2/type1-bug/type2-flying,oui,generation-4/evolution-2/type1-bug/type2-flying/is_tall-oui
R1179,generation-4/evolution-2/type1-water/type2-aucun,oui,generation-4/evolution-2/type1-water/type2-aucun/is_tall-oui
R1180,generation-4/evolution-2/type1-grass/type2-aucun,non,generation-4/evolution-2/type1-grass/type2-aucun/is_tall-non
R1181,generation-4/evolution-2/type1-water/type2-ground,non,generation-4/evolution-2/type1-water/type2-ground/is_tall-non
R1182,generation-4/evolution-2/type1-normal/type2-aucun,oui,generation-4/evolution-2/type1-normal/type2-aucun/is_tall-oui
R1183,generation-4/evolution-1/type1-ghost/type2-flying,non,generation-4/evolution-1/type1-ghost/type2-flying/is_tall-non
R1184,generation-4/evolution-2/type1-ghost/type2-flying,oui,generation-4/evolution-2/type1-ghost/type2-flying/is_tall-oui
R1185,generation-4/evolution-2/type1-ghost/type2-aucun,non,generation-4/evolution-2/type1-ghost/type2-aucun/is_tall-non
R1186,generation-4/evolution-2/type1-dark/type2-flying,non,generation-4/evolution-2/type1-dark/type2-flying/is_tall-non
R1187,generation-4/evolution-1/type1-psychic/type2-aucun,non,generation-4/evolution-1/type1-psychic/type2-aucun/is_tall-non
R1188,generation-4/evolution-1/type1-poison/type2-dark,non,generation-4/evolution-1/type1-poison/type2-dark/is_tall-non
R1189,generation-4/evolution-2/type1-poison/type2-dark,oui,generation-4/evolution-2/type1-poison/type2-dark/is_tall-oui
R1190,generation-4/evolution-1/type1-steel/type2-psychic,non,generation-4/evolution-1/type1-steel/type2-psychic/is_tall-non
R1191,generation-4/evolution-2/type1-steel/type2-psychic,oui,generation-4/evolution-2/type1-steel/type2-psychic/is_tall-oui
R1192,generation-4/evolution-1/type1-psychic/type2-fairy,non,generation-4/evolution-1/type1-psychic/type2-fairy/is_tall-non
R1193,generation-4/evolution-1/type1-ghost/type2-dark,oui,generation-4/evolution-1/type1-ghost/type2-dark/is_tall-oui
R1194,generation-4/evolution-1/type1-dragon/type2-ground,non,generation-4/evolution-1/type1-dragon/type2-ground/is_tall-non
R1195,generation-4/evolution-2/type1-dragon/type2-ground,oui,generation-4/evolution-2/type1-dragon/type2-ground/is_tall-oui
R1196,generation-4/evolution-3/type1-dragon/type2-ground,oui,generation-4/evolution-3/type1-dragon/type2-ground/is_tall-oui
R1197,generation-4/evolution-1/type1-fighting/type2-aucun,non,generation-4/evolution-1/type1-fighting/type2-aucun/is_tall-non
R1198,generation-4/evolution-2/type1-fighting/type2-steel,oui,generation-4/evolution-2/type1-fighting/type2-steel/is_tall-oui
R1199,generation-4/evolution-1/type1-ground/type2-aucun,non,generation-4/evolution-1/type1-ground/type2-aucun/is_tall-non
R1200,generation-4/evolution-2/type1-ground/type2-aucun,oui,generation-4/evolution-2/type1-ground/type2-aucun/is_tall-oui
R1201,generation-4/evolution-1/type1-poison/type2-bug,non,generation-4/evolution-1/type1-poison/type2-bug/is_tall-non
R1202,generation-4/evolution-1/type1-poison/type2-fighting,non,generation-4/evolution-1/type1-poison/type2-fighting/is_tall-non
R1203,generation-4/evolution-2/type1-poison/type2-fighting,oui,generation-4/evolution-2/type1-poison/type2-fighting/is_tall-oui
R1204,generation-4/evolution-1/type1-grass/type2-aucun,oui,generation-4/evolution-1/type1-grass/type2-aucun/is_tall-oui
R1205,generation-4/evolution-1/type1-water/type2-flying,oui,generation-4/evolution-1/type1-water/type2-flying/is_tall-oui
R1206,generation-4/evolution-1/type1-grass/type2-ice,oui,generation-4/evolution-1/type1-grass/type2-ice/is_tall-oui
R1207,generation-4/evolution-2/type1-grass/type2-ice,oui,generation-4/evolution-2/type1-grass/type2-ice/is_tall-oui
R1208,generation-4/evolution-2/type1-dark/type2-ice,oui,generation-4/evolution-2/type1-dark/type2-ice/is_tall-oui
R1209,generation-4/evolution-3/type1-electric/type2-steel,oui,generation-4/evolution-3/type1-electric/type2-steel/is_tall-oui
R1210,generation-4/evolution-3/type1-ground/type2-rock,oui,generation-4/evolution-3/type1-ground/type2-rock/is_tall-oui
R1211,generation-4/evolution-3/type1-fire/type2-aucun,oui,generation-4/evolution-3/type1-fire/type2-aucun/is_tall-oui
R1212,generation-4/evolution-3/type1-fairy/type2-flying,oui,generation-4/evolution-3/type1-fairy/type2-flying/is_tall-oui
R1213,generation-4/evolution-2/type1-ice/type2-aucun,non,generation-4/evolution-2/type1-ice/type2-aucun/is_tall-non
R1214,generation-4/evolution-2/type1-ground/type2-flying,oui,generation-4/evolution-2/type1-ground/type2-flying/is_tall-oui
R1215,generation-4/evolution-3/type1-ice/type2-ground,oui,generation-4/evolution-3/type1-ice/type2-ground/is_tall-oui
R1216,generation-4/evolution-3/type1-normal/type2-aucun,non,generation-4/evolution-3/type1-normal/type2-aucun/is_tall-non
R1217,generation-4/evolution-3/type1-psychic/type2-fighting,oui,generation-4/evolution-3/type1-psychic/type2-fighting/is_tall-oui
R1218,generation-4/evolution-3/type1-ghost/type2-aucun,oui,generation-4/evolution-3/type1-ghost/type2-aucun/is_tall-oui
R1219,generation-4/evolution-2/type1-ice/type2-ghost,oui,generation-4/evolution-2/type1-ice/type2-ghost/is_tall-oui
R1220,generation-4/evolution-1/type1-electric/type2-ghost,non,generation-4/evolution-1/type1-electric/type2-ghost/is_tall-non
R1221,generation-4/evolution-1/type1-steel/type2-dragon,oui,generation-4/evolution-1/type1-steel/type2-dragon/is_tall-oui
R1222,generation-4/evolution-1/type1-water/type2-dragon,oui,generation-4/evolution-1/type1-water/type2-dragon/is_tall-oui
R1223,generation-4/evolution-1/type1-fire/type2-steel,oui,generation-4/evolution-1/type1-fire/type2-steel/is_tall-oui
R1224,generation-4/evolution-1/type1-normal/type2-aucun,oui,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-oui
R1225,generation-4/evolution-1/type1-ghost/type2-dragon,oui,generation-4/evolution-1/type1-ghost/type2-dragon/is_tall-oui
R1226,generation-4/evolution-1/type1-psychic/type2-aucun,oui,generation-4/evolution-1/type1-psychic/type2-aucun/is_tall-oui
R1227,generation-4/evolution-1/type1-dark/type2-aucun,oui,generation-4/evolution-1/type1-dark/type2-aucun/is_tall-oui
R1228,generation-4/evolution-1/type1-grass/type2-grass,non,generation-4/evolution-1/type1-grass/type2-grass/is_tall-non
R1229,generation-5/evolution-1/type1-psychic/type2-fire,non,generation-5/evolution-1/type1-psychic/type2-fire/is_tall-non
R1230,generation-5/evolution-1/type1-grass/type2-aucun,non,generation-5/evolution-1/type1-grass/type2-aucun/is_tall-non
R1231,generation-5/evolution-2/type1-grass/type2-aucun,non,generation-5/evolution-2/type1-grass/type2-aucun/is_tall-non
R1232,generation-5/evolution-3/type1-grass/type2-aucun,oui,generation-5/evolution-3/type1-grass/type2-aucun/is_tall-oui
R1233,generation-5/evolution-1/type1-fire/type2-aucun,non,generation-5/evolution-1/type1-fire/type2-aucun/is_tall-non
R1234,generation-5/evolution-2/type1-fire/type2-fighting,oui,generation-5/evolution-2/type1-fire/type2-fighting/is_tall-oui
R1235,generation-5/evolution-3/type1-fire/type2-fighting,oui,generation-5/evolution-3/type1-fire/type2-fighting/is_tall-oui
R1236,generation-5/evolution-1/type1-water/type2-aucun,non,generation-5/evolution-1/type1-water/type2-aucun/is_tall-non
R1237,generation-5/evolution-2/type1-water/type2-aucun,non,generation-5/evolution-2/type1-water/type2-aucun/is_tall-non
R1238,generation-5/evolution-3/type1-water/type2-aucun,oui,generation-5/evolution-3/type1-water/type2-aucun/is_tall-oui
R1239,generation-5/evolution-1/type1-normal/type2-aucun,non,generation-5/evolution-1/type1-normal/type2-aucun/is_tall-non
R1240,generation-5/evolution-2/type1-normal/type2-aucun,oui,generation-5/evolution-2/type1-normal/type2-aucun/is_tall-oui
R1241,generation-5/evolution-2/type1-normal/type2-aucun,non,generation-5/evolution-2/type1-normal/type2-aucun/is_tall-non
R1242,generation-5/evolution-3/type1-normal/type2-aucun,oui,generation-5/evolution-3/type1-normal/type2-aucun/is_tall-oui
R1243,generation-5/evolution-1/type1-dark/type2-aucun,non,generation-5/evolution-1/type1-dark/type2-aucun/is_tall-non
R1244,generation-5/evolution-2/type1-dark/type2-aucun,oui,generation-5/evolution-2/type1-dark/type2-aucun/is_tall-oui
R1245,generation-5/evolution-2/type1-grass/type2-aucun,oui,generation-5/evolution-2/type1-grass/type2-aucun/is_tall-oui
R1246,generation-5/evolution-2/type1-fire/type2-aucun,oui,generation-5/evolution-2/type1-fire/type2-aucun/is_tall-oui
R1247,generation-5/evolution-2/type1-water/type2-aucun,oui,generation-5/evolution-2/type1-water/type2-aucun/is_tall-oui
R1248,generation-5/evolution-1/type1-psychic/type2-aucun,non,generation-5/evolution-1/type1-psychic/type2-aucun/is_tall-non
R1249,generation-5/evolution-2/type1-psychic/type2-aucun,oui,generation-5/evolution-2/type1-psychic/type2-aucun/is_tall-oui
R1250,generation-5/evolution-1/type1-normal/type2-flying,non,generation-5/evolution-1/type1-normal/type2-flying/is_tall-non
R1251,generation-5/evolution-2/type1-normal/type2-flying,non,generation-5/evolution-2/type1-normal/type2-flying/is_tall-non
R1252,generation-5/evolution-3/type1-normal/type2-flying,oui,generation-5/evolution-3/type1-normal/type2-flying/is_tall-oui
R1253,generation-5/evolution-1/type1-electric/type2-aucun,non,generation-5/evolution-1/type1-electric/type2-aucun/is_tall-non
R1254,generation-5/evolution-2/type1-electric/type2-aucun,oui,generation-5/evolution-2/type1-electric/type2-aucun/is_tall-oui
R1255,generation-5/evolution-1/type1-rock/type2-aucun,non,generation-5/evolution-1/type1-rock/type2-aucun/is_tall-non
R1256,generation-5/evolution-2/type1-rock/type2-aucun,non,generation-5/evolution-2/type1-rock/type2-aucun/is_tall-non
R1257,generation-5/evolution-3/type1-rock/type2-aucun,oui,generation-5/evolution-3/type1-rock/type2-aucun/is_tall-oui
R1258,generation-5/evolution-1/type1-psychic/type2-flying,non,generation-5/evolution-1/type1-psychic/type2-flying/is_tall-non
R1259,generation-5/evolution-2/type1-psychic/type2-flying,non,generation-5/evolution-2/type1-psychic/type2-flying/is_tall-non
R1260,generation-5/evolution-1/type1-ground/type2-aucun,non,generation-5/evolution-1/type1-ground/type2-aucun/is_tall-non
R1261,generation-5/evolution-2/type1-ground/type2-steel,non,generation-5/evolution-2/type1-ground/type2-steel/is_tall-non
R1262,generation-5/evolution-1/type1-normal/type2-aucun,oui,generation-5/evolution-1/type1-normal/type2-aucun/is_tall-oui
R1263,generation-5/evolution-1/type1-fighting/type2-aucun,non,generation-5/evolution-1/type1-fighting/type2-aucun/is_tall-non
R1264,generation-5/evolution-2/type1-fighting/type2-aucun,oui,generation-5/evolution-2/type1-fighting/type2-aucun/is_tall-oui
R1265,generation-5/evolution-3/type1-fighting/type2-aucun,oui,generation-5/evolution-3/type1-fighting/type2-aucun/is_tall-oui
R1266,generation-5/evolution-2/type1-water/type2-ground,non,generation-5/evolution-2/type1-water/type2-ground/is_tall-non
R1267,generation-5/evolution-3/type1-water/type2-ground,oui,generation-5/evolution-3/type1-water/type2-ground/is_tall-oui
R1268,generation-5/evolution-1/type1-fighting/type2-aucun,oui,generation-5/evolution-1/type1-fighting/type2-aucun/is_tall-oui
R1269,generation-5/evolution-1/type1-bug/type2-grass,non,generation-5/evolution-1/type1-bug/type2-grass/is_tall-non
R1270,generation-5/evolution-2/type1-bug/type2-grass,non,generation-5/evolution-2/type1-bug/type2-grass/is_tall-non
R1271,generation-5/evolution-3/type1-bug/type2-grass,oui,generation-5/evolution-3/type1-bug/type2-grass/is_tall-oui
R1272,generation-5/evolution-1/type1-bug/type2-poison,non,generation-5/evolution-1/type1-bug/type2-poison/is_tall-non
R1273,generation-5/evolution-2/type1-bug/type2-poison,oui,generation-5/evolution-2/type1-bug/type2-poison/is_tall-oui
R1274,generation-5/evolution-3/type1-bug/type2-poison,oui,generation-5/evolution-3/type1-bug/type2-poison/is_tall-oui
R1275,generation-5/evolution-1/type1-grass/type2-fairy,non,generation-5/evolution-1/type1-grass/type2-fairy/is_tall-non
R1276,generation-5/evolution-2/type1-grass/type2-fairy,non,generation-5/evolution-2/type1-grass/type2-fairy/is_tall-non
R1277,generation-5/evolution-1/type1-water/type2-aucun,oui,generation-5/evolution-1/type1-water/type2-aucun/is_tall-oui
R1278,generation-5/evolution-1/type1-ground/type2-dark,non,generation-5/evolution-1/type1-ground/type2-dark/is_tall-non
R1279,generation-5/evolution-2/type1-ground/type2-dark,oui,generation-5/evolution-2/type1-ground/type2-dark/is_tall-oui
R1280,generation-5/evolution-3/type1-ground/type2-dark,oui,generation-5/evolution-3/type1-ground/type2-dark/is_tall-oui
R1281,generation-5/evolution-2/type1-fire/type2-fire,oui,generation-5/evolution-2/type1-fire/type2-fire/is_tall-oui
R1282,generation-5/evolution-1/type1-grass/type2-aucun,oui,generation-5/evolution-1/type1-grass/type2-aucun/is_tall-oui
R1283,generation-5/evolution-1/type1-bug/type2-rock,non,generation-5/evolution-1/type1-bug/type2-rock/is_tall-non
R1284,generation-5/evolution-2/type1-bug/type2-rock,oui,generation-5/evolution-2/type1-bug/type2-rock/is_tall-oui
R1285,generation-5/evolution-1/type1-dark/type2-fighting,non,generation-5/evolution-1/type1-dark/type2-fighting/is_tall-non
R1286,generation-5/evolution-2/type1-dark/type2-fighting,oui,generation-5/evolution-2/type1-dark/type2-fighting/is_tall-oui
R1287,generation-5/evolution-1/type1-psychic/type2-flying,oui,generation-5/evolution-1/type1-psychic/type2-flying/is_tall-oui
R1288,generation-5/evolution-1/type1-ghost/type2-aucun,non,generation-5/evolution-1/type1-ghost/type2-aucun/is_tall-non
R1289,generation-5/evolution-2/type1-ghost/type2-aucun,oui,generation-5/evolution-2/type1-ghost/type2-aucun/is_tall-oui
R1290,generation-5/evolution-1/type1-water/type2-rock,non,generation-5/evolution-1/type1-water/type2-rock/is_tall-non
R1291,generation-5/evolution-2/type1-water/type2-rock,oui,generation-5/evolution-2/type1-water/type2-rock/is_tall-oui
R1292,generation-5/evolution-1/type1-rock/type2-flying,non,generation-5/evolution-1/type1-rock/type2-flying/is_tall-non
R1293,generation-5/evolution-2/type1-rock/type2-flying,oui,generation-5/evolution-2/type1-rock/type2-flying/is_tall-oui
R1294,generation-5/evolution-1/type1-poison/type2-aucun,non,generation-5/evolution-1/type1-poison/type2-aucun/is_tall-non
R1295,generation-5/evolution-2/type1-poison/type2-aucun,oui,generation-5/evolution-2/type1-poison/type2-aucun/is_tall-oui
R1296,generation-5/evolution-2/type1-psychic/type2-aucun,non,generation-5/evolution-2/type1-psychic/type2-aucun/is_tall-non
R1297,generation-5/evolution-3/type1-psychic/type2-aucun,oui,generation-5/evolution-3/type1-psychic/type2-aucun/is_tall-oui
R1298,generation-5/evolution-1/type1-water/type2-flying,non,generation-5/evolution-1/type1-water/type2-flying/is_tall-non
R1299,generation-5/evolution-2/type1-water/type2-flying,oui,generation-5/evolution-2/type1-water/type2-flying/is_tall-oui
R1300,generation-5/evolution-1/type1-ice/type2-aucun,non,generation-5/evolution-1/type1-ice/type2-aucun/is_tall-non
R1301,generation-5/evolution-2/type1-ice/type2-aucun,oui,generation-5/evolution-2/type1-ice/type2-aucun/is_tall-oui
R1302,generation-5/evolution-3/type1-ice/type2-aucun,oui,generation-5/evolution-3/type1-ice/type2-aucun/is_tall-oui
R1303,generation-5/evolution-1/type1-normal/type2-grass,non,generation-5/evolution-1/type1-normal/type2-grass/is_tall-non
R1304,generation-5/evolution-2/type1-normal/type2-grass,oui,generation-5/evolution-2/type1-normal/type2-grass/is_tall-oui
R1305,generation-5/evolution-1/type1-electric/type2-flying,non,generation-5/evolution-1/type1-electric/type2-flying/is_tall-non
R1306,generation-5/evolution-1/type1-bug/type2-aucun,non,generation-5/evolution-1/type1-bug/type2-aucun/is_tall-non
R1307,generation-5/evolution-2/type1-bug/type2-steel,oui,generation-5/evolution-2/type1-bug/type2-steel/is_tall-oui
R1308,generation-5/evolution-1/type1-grass/type2-poison,non,generation-5/evolution-1/type1-grass/type2-poison/is_tall-non
R1309,generation-5/evolution-2/type1-grass/type2-poison,non,generation-5/evolution-2/type1-grass/type2-poison/is_tall-non
R1310,generation-5/evolution-1/type1-water/type2-ghost,oui,generation-5/evolution-1/type1-water/type2-ghost/is_tall-oui
R1311,generation-5/evolution-2/type1-water/type2-ghost,oui,generation-5/evolution-2/type1-water/type2-ghost/is_tall-oui
R1312,generation-5/evolution-1/type1-bug/type2-electric,non,generation-5/evolution-1/type1-bug/type2-electric/is_tall-non
R1313,generation-5/evolution-2/type1-bug/type2-electric,non,generation-5/evolution-2/type1-bug/type2-electric/is_tall-non
R1314,generation-5/evolution-1/type1-grass/type2-steel,non,generation-5/evolution-1/type1-grass/type2-steel/is_tall-non
R1315,generation-5/evolution-2/type1-grass/type2-steel,oui,generation-5/evolution-2/type1-grass/type2-steel/is_tall-oui
R1316,generation-5/evolution-1/type1-steel/type2-aucun,non,generation-5/evolution-1/type1-steel/type2-aucun/is_tall-non
R1317,generation-5/evolution-2/type1-steel/type2-aucun,non,generation-5/evolution-2/type1-steel/type2-aucun/is_tall-non
R1318,generation-5/evolution-3/type1-steel/type2-aucun,non,generation-5/evolution-3/type1-steel/type2-aucun/is_tall-non
R1319,generation-5/evolution-3/type1-electric/type2-aucun,oui,generation-5/evolution-3/type1-electric/type2-aucun/is_tall-oui
R1320,generation-5/evolution-1/type1-ghost/type2-fire,non,generation-5/evolution-1/type1-ghost/type2-fire/is_tall-non
R1321,generation-5/evolution-2/type1-ghost/type2-fire,non,generation-5/evolution-2/type1-ghost/type2-fire/is_tall-non
R1322,generation-5/evolution-3/type1-ghost/type2-fire,oui,generation-5/evolution-3/type1-ghost/type2-fire/is_tall-oui
R1323,generation-5/evolution-1/type1-dragon/type2-aucun,non,generation-5/evolution-1/type1-dragon/type2-aucun/is_tall-non
R1324,generation-5/evolution-2/type1-dragon/type2-aucun,oui,generation-5/evolution-2/type1-dragon/type2-aucun/is_tall-oui
R1325,generation-5/evolution-3/type1-dragon/type2-aucun,oui,generation-5/evolution-3/type1-dragon/type2-aucun/is_tall-oui
R1326,generation-5/evolution-1/type1-ice/type2-aucun,oui,generation-5/evolution-1/type1-ice/type2-aucun/is_tall-oui
R1327,generation-5/evolution-2/type1-bug/type2-aucun,non,generation-5/evolution-2/type1-bug/type2-aucun/is_tall-non
R1328,generation-5/evolution-1/type1-ground/type2-electric,non,generation-5/evolution-1/type1-ground/type2-electric/is_tall-non
R1329,generation-5/evolution-1/type1-dragon/type2-aucun,oui,generation-5/evolution-1/type1-dragon/type2-aucun/is_tall-oui
