rule,premise,classfication,conclusion
R2385,generation-3/evolution-2/type1-normal/type2-aucun/is_tall-non/is_legendary-non,rush,Linoone
R2386,generation-3/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,worm,Wurmple
R2387,generation-3/evolution-2/type1-bug/type2-aucun/is_tall-non/is_legendary-non,cocoon,Silcoon
R2388,generation-3/evolution-3/type1-bug/type2-flying/is_tall-oui/is_legendary-non,butterfly,Beautifly
R2389,generation-3/evolution-2/type1-bug/type2-aucun/is_tall-non/is_legendary-non,cocoon,Cascoon
R2390,generation-3/evolution-3/type1-bug/type2-poison/is_tall-oui/is_legendary-non,poison moth,Dustox
R2391,generation-3/evolution-1/type1-water/type2-grass/is_tall-non/is_legendary-non,water weed,Lotad
R2392,generation-3/evolution-2/type1-water/type2-grass/is_tall-oui/is_legendary-non,jolly,Lombre
R2393,generation-3/evolution-3/type1-water/type2-grass/is_tall-oui/is_legendary-non,carefree,Ludicolo
R2394,generation-3/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,acorn,Seedot
R2395,generation-3/evolution-2/type1-grass/type2-dark/is_tall-oui/is_legendary-non,wily,Nuzleaf
R2396,generation-3/evolution-3/type1-grass/type2-dark/is_tall-oui/is_legendary-non,wickid,Shiftry
R2397,generation-3/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,tinyswallow,Taillow
R2398,generation-3/evolution-2/type1-normal/type2-flying/is_tall-non/is_legendary-non,swallow,Swellow
R2399,generation-3/evolution-1/type1-water/type2-flying/is_tall-non/is_legendary-non,seagull,Wingull
R2400,generation-3/evolution-2/type1-water/type2-flying/is_tall-oui/is_legendary-non,water bird,Pelipper
R2401,generation-3/evolution-1/type1-psychic/type2-fairy/is_tall-non/is_legendary-non,feeling,Ralts
R2402,generation-3/evolution-2/type1-psychic/type2-fairy/is_tall-non/is_legendary-non,emotion,Kirlia
R2403,generation-3/evolution-3/type1-psychic/type2-fairy/is_tall-oui/is_legendary-non,embrace,Gardevoir
R2404,generation-3/evolution-1/type1-bug/type2-water/is_tall-non/is_legendary-non,pond skater,Surskit
R2405,generation-3/evolution-2/type1-bug/type2-flying/is_tall-non/is_legendary-non,eyeball,Masquerain
R2406,generation-3/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,mushroom,Shroomish
R2407,generation-3/evolution-2/type1-grass/type2-fighting/is_tall-oui/is_legendary-non,mushroom,Breloom
R2408,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,slacker,Slakoth
R2409,generation-3/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,wild monkey,Vigoroth
R2410,generation-3/evolution-3/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,lazy,Slaking
R2411,generation-3/evolution-1/type1-bug/type2-ground/is_tall-non/is_legendary-non,trainee,Nincada
R2412,generation-3/evolution-2/type1-bug/type2-flying/is_tall-non/is_legendary-non,ninja,Ninjask
R2413,generation-3/evolution-2/type1-bug/type2-ghost/is_tall-non/is_legendary-non,shed,Shedinja
R2414,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,whisper,Whismur
R2415,generation-3/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,big voice,Loudred
R2416,generation-3/evolution-3/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,loud noise,Exploud
R2417,generation-3/evolution-1/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,guts,Makuhita
R2418,generation-3/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,arm thrust,Hariyama
R2419,generation-3/evolution-1/type1-normal/type2-fairy/is_tall-non/is_legendary-non,polka dot,Azurill
R2420,generation-3/evolution-1/type1-rock/type2-aucun/is_tall-oui/is_legendary-non,compass,Nosepass
R2421,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,kitten,Skitty
R2422,generation-3/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,prim,Delcatty
R2423,generation-3/evolution-1/type1-dark/type2-ghost/is_tall-non/is_legendary-non,darkness,Sableye
R2424,generation-3/evolution-1/type1-steel/type2-fairy/is_tall-non/is_legendary-non,deceiver,Mawile
R2425,generation-3/evolution-1/type1-steel/type2-rock/is_tall-non/is_legendary-non,iron armor,Aron
R2426,generation-3/evolution-2/type1-steel/type2-rock/is_tall-non/is_legendary-non,iron armor,Lairon
R2427,generation-3/evolution-3/type1-steel/type2-rock/is_tall-oui/is_legendary-non,iron armor,Aggron
R2428,generation-3/evolution-1/type1-fighting/type2-psychic/is_tall-non/is_legendary-non,meditate,Meditite
R2429,generation-3/evolution-2/type1-fighting/type2-psychic/is_tall-oui/is_legendary-non,meditate,Medicham
R2430,generation-3/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,lightning,Electrike
R2431,generation-3/evolution-2/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,discharge,Manectric
R2432,generation-3/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,cheering,Plusle
R2433,generation-3/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,cheering,Minun
R2434,generation-3/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,firefly,Volbeat
R2435,generation-3/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,firefly,Illumise
R2436,generation-3/evolution-2/type1-grass/type2-poison/is_tall-non/is_legendary-non,thorn,Roselia
R2437,generation-3/evolution-1/type1-poison/type2-aucun/is_tall-non/is_legendary-non,stomach,Gulpin
R2438,generation-3/evolution-2/type1-poison/type2-aucun/is_tall-oui/is_legendary-non,poison bag,Swalot
R2439,generation-3/evolution-1/type1-water/type2-dark/is_tall-non/is_legendary-non,savage,Carvanha
R2440,generation-3/evolution-2/type1-water/type2-dark/is_tall-oui/is_legendary-non,brutal,Sharpedo
R2441,generation-3/evolution-1/type1-water/type2-aucun/is_tall-oui/is_legendary-non,ball whale,Wailmer
R2442,generation-3/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,float whale,Wailord
R2443,generation-3/evolution-1/type1-fire/type2-ground/is_tall-non/is_legendary-non,numb,Numel
R2444,generation-3/evolution-2/type1-fire/type2-ground/is_tall-oui/is_legendary-non,eruption,Camerupt
R2445,generation-3/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,coal,Torkoal
R2446,generation-3/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,bounce,Spoink
R2447,generation-3/evolution-2/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,manipulate,Grumpig
R2448,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,spot panda,Spinda
R2449,generation-3/evolution-1/type1-ground/type2-aucun/is_tall-non/is_legendary-non,ant pit,Trapinch
R2450,generation-3/evolution-2/type1-ground/type2-dragon/is_tall-oui/is_legendary-non,vibration,Vibrava
R2451,generation-3/evolution-3/type1-ground/type2-dragon/is_tall-oui/is_legendary-non,mystic,Flygon
R2452,generation-3/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,cactus,Cacnea
R2453,generation-3/evolution-2/type1-grass/type2-dark/is_tall-oui/is_legendary-non,scarecrow,Cacturne
R2454,generation-3/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,cotton bird,Swablu
R2455,generation-3/evolution-2/type1-dragon/type2-flying/is_tall-oui/is_legendary-non,humming,Altaria
R2456,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,cat ferret,Zangoose
R2457,generation-3/evolution-1/type1-poison/type2-aucun/is_tall-oui/is_legendary-non,fang snake,Seviper
R2458,generation-3/evolution-1/type1-rock/type2-psychic/is_tall-oui/is_legendary-non,meteorite,Lunatone
R2459,generation-3/evolution-1/type1-rock/type2-psychic/is_tall-oui/is_legendary-non,meteorite,Solrock
R2460,generation-3/evolution-1/type1-water/type2-ground/is_tall-non/is_legendary-non,whiskers,Barboach
R2461,generation-3/evolution-2/type1-water/type2-ground/is_tall-non/is_legendary-non,whiskers,Whiscash
R2462,generation-3/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,ruffian,Corphish
R2463,generation-3/evolution-2/type1-water/type2-dark/is_tall-oui/is_legendary-non,rogue,Crawdaunt
R2464,generation-3/evolution-1/type1-ground/type2-psychic/is_tall-non/is_legendary-non,clay doll,Baltoy
R2465,generation-3/evolution-2/type1-ground/type2-psychic/is_tall-oui/is_legendary-non,clay doll,Claydol
R2466,generation-3/evolution-1/type1-rock/type2-grass/is_tall-oui/is_legendary-non,sea lily,Lileep
R2467,generation-3/evolution-2/type1-rock/type2-grass/is_tall-oui/is_legendary-non,barnacle,Cradily
R2468,generation-3/evolution-1/type1-rock/type2-bug/is_tall-non/is_legendary-non,old shrimp,Anorith
R2469,generation-3/evolution-2/type1-rock/type2-bug/is_tall-oui/is_legendary-non,plate,Armaldo
R2470,generation-3/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,fish,Feebas
R2471,generation-3/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,tender,Milotic
R2472,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,weather,Castform
R2473,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,color swap,Kecleon
R2474,generation-3/evolution-1/type1-ghost/type2-aucun/is_tall-non/is_legendary-non,puppet,Shuppet
R2475,generation-3/evolution-2/type1-ghost/type2-aucun/is_tall-oui/is_legendary-non,marionette,Banette
R2476,generation-3/evolution-1/type1-ghost/type2-aucun/is_tall-non/is_legendary-non,requiem,Duskull
R2477,generation-3/evolution-2/type1-ghost/type2-aucun/is_tall-oui/is_legendary-non,beckon,Dusclops
R2478,generation-3/evolution-1/type1-grass/type2-flying/is_tall-oui/is_legendary-non,fruit,Tropius
R2479,generation-3/evolution-2/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,wind chime,Chimecho
R2480,generation-3/evolution-1/type1-dark/type2-aucun/is_tall-oui/is_legendary-non,disaster,Absol
R2481,generation-3/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,bright,Wynaut
R2482,generation-3/evolution-1/type1-ice/type2-aucun/is_tall-non/is_legendary-non,snow hat,Snorunt
R2483,generation-3/evolution-2/type1-ice/type2-aucun/is_tall-oui/is_legendary-non,face,Glalie
R2484,generation-3/evolution-1/type1-ice/type2-water/is_tall-non/is_legendary-non,clap,Spheal
R2485,generation-3/evolution-2/type1-ice/type2-water/is_tall-oui/is_legendary-non,ball roll,Sealeo
R2486,generation-3/evolution-3/type1-ice/type2-water/is_tall-oui/is_legendary-non,ice break,Walrein
R2487,generation-3/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,bivalve,Clamperl
R2488,generation-3/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,deep sea,Huntail
R2489,generation-3/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,south sea,Gorebyss
R2490,generation-3/evolution-1/type1-water/type2-rock/is_tall-oui/is_legendary-non,longevity,Relicanth
R2491,generation-3/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,rendezvous,Luvdisc
R2492,generation-3/evolution-1/type1-dragon/type2-aucun/is_tall-non/is_legendary-non,rock head,Bagon
R2493,generation-3/evolution-2/type1-dragon/type2-aucun/is_tall-oui/is_legendary-non,endurance,Shelgon
R2494,generation-3/evolution-3/type1-dragon/type2-flying/is_tall-oui/is_legendary-non,dragon,Salamence
R2495,generation-3/evolution-1/type1-steel/type2-psychic/is_tall-non/is_legendary-non,iron ball,Beldum
R2496,generation-3/evolution-2/type1-steel/type2-psychic/is_tall-oui/is_legendary-non,iron claw,Metang
R2497,generation-3/evolution-3/type1-steel/type2-psychic/is_tall-oui/is_legendary-non,iron leg,Metagross
R2498,generation-3/evolution-1/type1-rock/type2-aucun/is_tall-oui/is_legendary-oui,rock peak,Regirock
R2499,generation-3/evolution-1/type1-ice/type2-aucun/is_tall-oui/is_legendary-oui,iceberg,Regice
R2500,generation-3/evolution-1/type1-steel/type2-aucun/is_tall-oui/is_legendary-oui,iron,Registeel
R2501,generation-3/evolution-1/type1-dragon/type2-psychic/is_tall-oui/is_legendary-oui,eon,Latias
R2502,generation-3/evolution-1/type1-dragon/type2-psychic/is_tall-oui/is_legendary-oui,eon,Latios
R2503,generation-3/evolution-1/type1-water/type2-aucun/is_tall-oui/is_legendary-oui,sea basin,Kyogre
R2504,generation-3/evolution-1/type1-ground/type2-aucun/is_tall-oui/is_legendary-oui,continent,Groudon
R2505,generation-3/evolution-1/type1-dragon/type2-flying/is_tall-oui/is_legendary-oui,sky high,Rayquaza
R2506,generation-3/evolution-1/type1-steel/type2-psychic/is_tall-non/is_legendary-oui,wish,Jirachi
R2507,generation-3/evolution-1/type1-psychic/type2-aucun/is_tall-oui/is_legendary-oui,dna,Deoxys
R2508,generation-4/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,tiny leaf,Turtwig
R2509,generation-4/evolution-2/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,grove,Grotle
R2510,generation-4/evolution-3/type1-grass/type2-ground/is_tall-oui/is_legendary-non,continent,Torterra
R2511,generation-4/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,chimp,Chimchar
R2512,generation-4/evolution-2/type1-fire/type2-fighting/is_tall-non/is_legendary-non,playful,Monferno
R2513,generation-4/evolution-3/type1-fire/type2-fighting/is_tall-oui/is_legendary-non,flame,Infernape
R2514,generation-4/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,penguin,Piplup
R2515,generation-4/evolution-2/type1-water/type2-aucun/is_tall-non/is_legendary-non,penguin,Prinplup
R2516,generation-4/evolution-3/type1-water/type2-steel/is_tall-oui/is_legendary-non,emperor,Empoleon
R2517,generation-4/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,starling,Starly
R2518,generation-4/evolution-2/type1-normal/type2-flying/is_tall-non/is_legendary-non,starling,Staravia
R2519,generation-4/evolution-3/type1-normal/type2-flying/is_tall-oui/is_legendary-non,predator,Staraptor
R2520,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,plump mouse,Bidoof
R2521,generation-4/evolution-2/type1-normal/type2-water/is_tall-oui/is_legendary-non,beaver,Bibarel
R2522,generation-4/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,cricket,Kricketot
R2523,generation-4/evolution-2/type1-bug/type2-aucun/is_tall-oui/is_legendary-non,cricket,Kricketune
R2524,generation-4/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,flash,Shinx
R2525,generation-4/evolution-2/type1-electric/type2-aucun/is_tall-non/is_legendary-non,spark,Luxio
R2526,generation-4/evolution-3/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,gleam eyes,Luxray
R2527,generation-4/evolution-1/type1-grass/type2-poison/is_tall-non/is_legendary-non,bud,Budew
R2528,generation-4/evolution-3/type1-grass/type2-poison/is_tall-non/is_legendary-non,bouquet,Roserade
R2529,generation-4/evolution-1/type1-rock/type2-aucun/is_tall-non/is_legendary-non,head butt,Cranidos
R2530,generation-4/evolution-2/type1-rock/type2-aucun/is_tall-oui/is_legendary-non,head butt,Rampardos
R2531,generation-4/evolution-1/type1-rock/type2-steel/is_tall-non/is_legendary-non,shield,Shieldon
R2532,generation-4/evolution-2/type1-rock/type2-steel/is_tall-oui/is_legendary-non,shield,Bastiodon
R2533,generation-4/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,bagworm,Burmy
R2534,generation-4/evolution-2/type1-bug/type2-grass/is_tall-non/is_legendary-non,bagworm,Wormadam
R2535,generation-4/evolution-2/type1-bug/type2-flying/is_tall-non/is_legendary-non,moth,Mothim
R2536,generation-4/evolution-1/type1-bug/type2-flying/is_tall-non/is_legendary-non,tiny bee,Combee
R2537,generation-4/evolution-2/type1-bug/type2-flying/is_tall-oui/is_legendary-non,beehive,Vespiquen
R2538,generation-4/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,elesquirrel,Pachirisu
R2539,generation-4/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,sea weasel,Buizel
R2540,generation-4/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,sea weasel,Floatzel
R2541,generation-4/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,cherry,Cherubi
R2542,generation-4/evolution-2/type1-grass/type2-aucun/is_tall-non/is_legendary-non,blossom,Cherrim
R2543,generation-4/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,sea slug,Shellos
R2544,generation-4/evolution-2/type1-water/type2-ground/is_tall-non/is_legendary-non,sea slug,Gastrodon
R2545,generation-4/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,long tail,Ambipom
R2546,generation-4/evolution-1/type1-ghost/type2-flying/is_tall-non/is_legendary-non,balloon,Drifloon
R2547,generation-4/evolution-2/type1-ghost/type2-flying/is_tall-oui/is_legendary-non,blimp,Drifblim
R2548,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,rabbit,Buneary
R2549,generation-4/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,rabbit,Lopunny
R2550,generation-4/evolution-2/type1-ghost/type2-aucun/is_tall-non/is_legendary-non,magical,Mismagius
R2551,generation-4/evolution-2/type1-dark/type2-flying/is_tall-non/is_legendary-non,big boss,Honchkrow
R2552,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,catty,Glameow
R2553,generation-4/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,tiger cat,Purugly
R2554,generation-4/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,bell,Chingling
R2555,generation-4/evolution-1/type1-poison/type2-dark/is_tall-non/is_legendary-non,skunk,Stunky
R2556,generation-4/evolution-2/type1-poison/type2-dark/is_tall-oui/is_legendary-non,skunk,Skuntank
R2557,generation-4/evolution-1/type1-steel/type2-psychic/is_tall-non/is_legendary-non,bronze,Bronzor
R2558,generation-4/evolution-2/type1-steel/type2-psychic/is_tall-oui/is_legendary-non,bronze bell,Bronzong
R2559,generation-4/evolution-1/type1-rock/type2-aucun/is_tall-non/is_legendary-non,bonsai,Bonsly
R2560,generation-4/evolution-1/type1-psychic/type2-fairy/is_tall-non/is_legendary-non,mime,Mime Jr.
R2561,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,playhouse,Happiny
R2562,generation-4/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,music note,Chatot
R2563,generation-4/evolution-1/type1-ghost/type2-dark/is_tall-oui/is_legendary-non,forbidden,Spiritomb
R2564,generation-4/evolution-1/type1-dragon/type2-ground/is_tall-non/is_legendary-non,land shark,Gible
R2565,generation-4/evolution-2/type1-dragon/type2-ground/is_tall-oui/is_legendary-non,cave,Gabite
R2566,generation-4/evolution-3/type1-dragon/type2-ground/is_tall-oui/is_legendary-non,mach,Garchomp
R2567,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,big eater,Munchlax
R2568,generation-4/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,emanation,Riolu
R2569,generation-4/evolution-2/type1-fighting/type2-steel/is_tall-oui/is_legendary-non,aura,Lucario
R2570,generation-4/evolution-1/type1-ground/type2-aucun/is_tall-non/is_legendary-non,hippo,Hippopotas
R2571,generation-4/evolution-2/type1-ground/type2-aucun/is_tall-oui/is_legendary-non,heavyweight,Hippowdon
R2572,generation-4/evolution-1/type1-poison/type2-bug/is_tall-non/is_legendary-non,scorpion,Skorupi
R2573,generation-4/evolution-2/type1-poison/type2-dark/is_tall-oui/is_legendary-non,ogre scorp,Drapion
R2574,generation-4/evolution-1/type1-poison/type2-fighting/is_tall-non/is_legendary-non,toxic mouth,Croagunk
R2575,generation-4/evolution-2/type1-poison/type2-fighting/is_tall-oui/is_legendary-non,toxic mouth,Toxicroak
R2576,generation-4/evolution-1/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,bug catcher,Carnivine
R2577,generation-4/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,wing fish,Finneon
R2578,generation-4/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,neon,Lumineon
R2579,generation-4/evolution-1/type1-water/type2-flying/is_tall-oui/is_legendary-non,kite,Mantyke
R2580,generation-4/evolution-1/type1-grass/type2-ice/is_tall-oui/is_legendary-non,frosted tree,Snover
R2581,generation-4/evolution-2/type1-grass/type2-ice/is_tall-oui/is_legendary-non,frosted tree,Abomasnow
R2582,generation-4/evolution-2/type1-dark/type2-ice/is_tall-oui/is_legendary-non,sharp claw,Weavile
R2583,generation-4/evolution-3/type1-electric/type2-steel/is_tall-oui/is_legendary-non,magnet area,Magnezone
R2584,generation-4/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,licking,Lickilicky
R2585,generation-4/evolution-3/type1-ground/type2-rock/is_tall-oui/is_legendary-non,drill,Rhyperior
R2586,generation-4/evolution-2/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,vine,Tangrowth
R2587,generation-4/evolution-3/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,thunderbolt,Electivire
R2588,generation-4/evolution-3/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,blast,Magmortar
R2589,generation-4/evolution-3/type1-fairy/type2-flying/is_tall-oui/is_legendary-non,jubilee,Togekiss
R2590,generation-4/evolution-2/type1-bug/type2-flying/is_tall-oui/is_legendary-non,ogre darner,Yanmega
R2591,generation-4/evolution-2/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,verdant,Leafeon
R2592,generation-4/evolution-2/type1-ice/type2-aucun/is_tall-non/is_legendary-non,fresh snow,Glaceon
R2593,generation-4/evolution-2/type1-ground/type2-flying/is_tall-oui/is_legendary-non,fang scorp,Gliscor
R2594,generation-4/evolution-3/type1-ice/type2-ground/is_tall-oui/is_legendary-non,twin tusk,Mamoswine
R2595,generation-4/evolution-3/type1-normal/type2-aucun/is_tall-non/is_legendary-non,virtual,Porygon-Z
R2596,generation-4/evolution-3/type1-psychic/type2-fighting/is_tall-oui/is_legendary-non,blade,Gallade
R2597,generation-4/evolution-2/type1-rock/type2-steel/is_tall-oui/is_legendary-non,compass,Probopass
R2598,generation-4/evolution-3/type1-ghost/type2-aucun/is_tall-oui/is_legendary-non,gripper,Dusknoir
R2599,generation-4/evolution-2/type1-ice/type2-ghost/is_tall-oui/is_legendary-non,snow land,Froslass
R2600,generation-4/evolution-1/type1-electric/type2-ghost/is_tall-non/is_legendary-non,plasma,Rotom
R2601,generation-4/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-oui,knowledge,Uxie
R2602,generation-4/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-oui,emotion,Mesprit
R2603,generation-4/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-oui,willpower,Azelf
R2604,generation-4/evolution-1/type1-steel/type2-dragon/is_tall-oui/is_legendary-oui,temporal,Dialga
R2605,generation-4/evolution-1/type1-water/type2-dragon/is_tall-oui/is_legendary-oui,spatial,Palkia
R2606,generation-4/evolution-1/type1-fire/type2-steel/is_tall-oui/is_legendary-oui,lava dome,Heatran
R2607,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-oui,colossal,Regigigas
R2608,generation-4/evolution-1/type1-ghost/type2-dragon/is_tall-oui/is_legendary-oui,renegade,Giratina
R2609,generation-4/evolution-1/type1-psychic/type2-aucun/is_tall-oui/is_legendary-oui,lunar,Cresselia
R2610,generation-4/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,sea drifter,Phione
R2611,generation-4/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-oui,seafaring,Manaphy
R2612,generation-4/evolution-1/type1-dark/type2-aucun/is_tall-oui/is_legendary-oui,pitch-black,Darkrai
R2613,generation-4/evolution-1/type1-grass/type2-grass/is_tall-non/is_legendary-oui,gratitude,Shaymin
R2614,generation-4/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-oui,alpha,Arceus
R2615,generation-5/evolution-1/type1-psychic/type2-fire/is_tall-non/is_legendary-oui,victory,Victini
R2616,generation-5/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,grass snake,Snivy
R2617,generation-5/evolution-2/type1-grass/type2-aucun/is_tall-non/is_legendary-non,grass snake,Servine
R2618,generation-5/evolution-3/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,regal,Serperior
R2619,generation-5/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,fire pig,Tepig
R2620,generation-5/evolution-2/type1-fire/type2-fighting/is_tall-oui/is_legendary-non,fire pig,Pignite
R2621,generation-5/evolution-3/type1-fire/type2-fighting/is_tall-oui/is_legendary-non,mega fire pig,Emboar
R2622,generation-5/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,sea otter,Oshawott
R2623,generation-5/evolution-2/type1-water/type2-aucun/is_tall-non/is_legendary-non,discipline,Dewott
R2624,generation-5/evolution-3/type1-water/type2-aucun/is_tall-oui/is_legendary-non,formidable,Samurott
R2625,generation-5/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,scout,Patrat
R2626,generation-5/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,lookout,Watchog
R2627,generation-5/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,puppy,Lillipup
R2628,generation-5/evolution-2/type1-normal/type2-aucun/is_tall-non/is_legendary-non,loyal dog,Herdier
R2629,generation-5/evolution-3/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,big-hearted,Stoutland
R2630,generation-5/evolution-1/type1-dark/type2-aucun/is_tall-non/is_legendary-non,devious,Purrloin
R2631,generation-5/evolution-2/type1-dark/type2-aucun/is_tall-oui/is_legendary-non,cruel,Liepard
R2632,generation-5/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,grass monkey,Pansage
R2633,generation-5/evolution-2/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,thorn monkey,Simisage
R2634,generation-5/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,high temp,Pansear
R2635,generation-5/evolution-2/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,ember,Simisear
R2636,generation-5/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,spray,Panpour
R2637,generation-5/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,geyser,Simipour
R2638,generation-5/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,dream eater,Munna
R2639,generation-5/evolution-2/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,drowsing,Musharna
R2640,generation-5/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,tiny pigeon,Pidove
R2641,generation-5/evolution-2/type1-normal/type2-flying/is_tall-non/is_legendary-non,wild pigeon,Tranquill
R2642,generation-5/evolution-3/type1-normal/type2-flying/is_tall-oui/is_legendary-non,proud,Unfezant
R2643,generation-5/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,electrified,Blitzle
R2644,generation-5/evolution-2/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,thunderbolt,Zebstrika
R2645,generation-5/evolution-1/type1-rock/type2-aucun/is_tall-non/is_legendary-non,mantle,Roggenrola
R2646,generation-5/evolution-2/type1-rock/type2-aucun/is_tall-non/is_legendary-non,ore,Boldore
R2647,generation-5/evolution-3/type1-rock/type2-aucun/is_tall-oui/is_legendary-non,compressed,Gigalith
